Business ID,Business name,Store ID,Store name,Merchant store ID,Payout date,Currency,Channel,Subtotal,Subtotal tax passed to merchant,Commission,Payment processing fee,Marketing fees | (including any applicable taxes),Customer discounts from marketing | (funded by you),Customer discounts from marketing | (funded by DoorDash),Customer discounts from marketing | (funded by a third-party),DoorDash marketing credit,Third-party contribution,Error charges,Adjustments,Net total,Subtotal tax remitted by DoorDash to tax authorities,Payout ID,Payout status
5579,McDonald's,701236,McDonald's (19593-GRAFTON),19593,2025-07-14,USD,Marketplace,1637.44,0.00,-204.70,0.00,-1.98,-97.40,-8.36,0.00,8.36,0.00,-18.42,31.12,1346.06,-2.79,498480545,PAID
5579,McDonald's,701236,McDonald's (19593-GRAFTON),19593,2025-07-14,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.95,14.95,0.00,498480545,PAID
5579,McDonald's,701236,McDonald's (19593-GRAFTON),19593,2025-07-07,USD,Marketplace,1609.15,0.00,-193.99,0.00,-13.12,-119.05,-23.26,0.00,30.44,0.00,-4.16,0.00,1286.01,-2.14,496696892,PAID
5579,McDonald's,701236,McDonald's (19593-GRAFTON),19593,2025-06-30,USD,Marketplace,1169.54,0.00,-145.72,0.00,-17.10,-48.88,-27.30,0.00,40.44,0.00,0.00,3.89,974.87,-0.79,494945066,PAID
5579,McDonald's,701236,McDonald's (19593-GRAFTON),19593,2025-06-30,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.20,7.20,0.00,494945066,PAID
5579,McDonald's,701236,McDonald's (19593-GRAFTON),19593,2025-06-23,USD,Marketplace,1439.68,0.00,-174.70,0.00,-1.98,-69.84,-2.58,0.00,2.58,0.00,-12.84,0.00,1180.32,-1.62,493181072,PAID
5579,McDonald's,701236,McDonald's (19593-GRAFTON),19593,2025-06-23,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.66,2.66,0.00,493181072,PAID
5579,McDonald's,1170166,McDonald's (1568-LAKEWOOD-W 117TH),1568,2025-08-18,USD,Marketplace,12030.13,0.00,-1348.11,0.00,-334.62,-1801.96,-28.81,-24.45,28.81,24.45,-330.93,389.46,8603.97,-5.90,507355976,PAID
5579,McDonald's,1170166,McDonald's (1568-LAKEWOOD-W 117TH),1568,2025-08-18,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.23,60.23,0.00,507355976,PAID
5579,McDonald's,1170166,McDonald's (1568-LAKEWOOD-W 117TH),1568,2025-08-11,USD,Marketplace,12289.45,0.00,-1407.70,0.00,-372.24,-1693.32,-94.36,-18.66,94.36,18.66,-229.67,214.44,8800.96,0.00,505618445,PAID
5579,McDonald's,1170166,McDonald's (1568-LAKEWOOD-W 117TH),1568,2025-08-11,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.11,47.11,0.00,505618445,PAID
5579,McDonald's,1170166,McDonald's (1568-LAKEWOOD-W 117TH),1568,2025-08-04,USD,Marketplace,9282.79,0.00,-1032.41,0.00,-465.99,-1451.27,-51.81,-8.19,134.67,8.19,-251.69,278.83,6443.12,-9.71,503842047,PAID
5579,McDonald's,1170166,McDonald's (1568-LAKEWOOD-W 117TH),1568,2025-08-04,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.37,55.37,0.00,503842047,PAID
5579,McDonald's,1170166,McDonald's (1568-LAKEWOOD-W 117TH),1568,2025-07-28,USD,Marketplace,10813.72,0.00,-1236.79,0.00,-330.66,-1461.99,-58.77,0.00,58.77,0.00,-414.66,375.05,7744.67,-15.65,502062874,PAID
5579,McDonald's,1170166,McDonald's (1568-LAKEWOOD-W 117TH),1568,2025-07-28,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.98,70.98,0.00,502062874,PAID
5579,McDonald's,1170166,McDonald's (1568-LAKEWOOD-W 117TH),1568,2025-07-21,USD,Marketplace,14275.33,0.00,-1762.56,0.00,-19.80,-918.07,-177.67,0.00,177.67,0.00,-404.64,277.12,11447.38,-17.47,500284831,PAID
5579,McDonald's,1170166,McDonald's (1568-LAKEWOOD-W 117TH),1568,2025-07-21,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.51,48.51,0.00,500284831,PAID
5579,McDonald's,1170166,McDonald's (1568-LAKEWOOD-W 117TH),1568,2025-07-14,USD,Marketplace,9873.92,0.00,-1202.64,0.00,-13.86,-737.59,-96.39,0.00,96.39,0.00,-400.89,299.64,7818.58,-15.70,498488223,PAID
