Campaign UUID,Offer type,Status,Start date,End date,Stores,Audience,Sales (USD),New customers,Orders,Uber funding (%),Items,folder_name
b7adb418-1632-471b-8549-5d0002af649a,Free Item (Spend 20),CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Uber One members only,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
3457e1ee-f875-4827-b639-8007fe41f002,"Buy 1, Get 1 Free",CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
4676b878-4b7c-46fa-aecf-7637c7760031,"Spend 20, Save 5",CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
179ee3fe-b744-4060-9094-946358d029e4,"Buy 1, Get 1 Free",COMPLETED,"Aug 10, 2025","Aug 11, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
4dc74eca-0ac7-4b45-9f71-939126fbf5e8,Free Item (Spend 20),CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Uber One members only,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
bdd83886-9d60-41bb-83c4-ba409d83fc77,"Buy 1, Get 1 Free",CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
46a0e703-2457-46c6-8b6c-aa30bc53887c,"Spend 20, Save 5",CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
b7779857-b582-49f6-8e39-95e104d14fd4,"Buy 1, Get 1 Free",COMPLETED,"Aug 10, 2025","Aug 11, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
5cd48972-807b-4385-9559-dc862b1bc9fd,Free Item (Spend 20),CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Uber One members only,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
86029a56-4681-4a34-bcdd-ea8b5c1e15dd,"Buy 1, Get 1 Free",CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
f077a673-33f9-4e22-af7b-c8f1528a4794,"Spend 20, Save 5",CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Custom audience,$21,1,1,0,,QSR Executive Enterprises-Aug11-Aug17
9b178b29-748e-4bc7-95b3-7f2be112b3f5,"Buy 1, Get 1 Free",COMPLETED,"Aug 10, 2025","Aug 11, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
14037c28-c8a6-4449-8cdc-0ce7c63be3f9,Free Item (Spend 20),CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Uber One members only,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
c2803694-807c-4f8e-8256-23ecd73038ac,"Buy 1, Get 1 Free",CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
920fd0ad-7eff-4a66-bf4e-484141656ed7,"Spend 20, Save 5",CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Custom audience,$171,2,6,0,,QSR Executive Enterprises-Aug11-Aug17
679dba8e-16fd-4852-b3f1-10b2eb99c8de,"Buy 1, Get 1 Free",COMPLETED,"Aug 10, 2025","Aug 11, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
6108f50b-b57c-48ab-858e-d0e7bb2d2c73,Free Item (Spend 20),CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Uber One members only,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
da09aae0-54cf-4744-b704-5945b0fbd73e,"Buy 1, Get 1 Free",CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
e9ce6791-951e-4e0b-b6a2-090614f81bac,"Spend 20, Save 5",CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Custom audience,$59,2,2,0,,QSR Executive Enterprises-Aug11-Aug17
c455df36-af3a-4528-b6f5-510bd7e62b6e,"Buy 1, Get 1 Free",COMPLETED,"Aug 10, 2025","Aug 11, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
91d8bc5d-f33b-4f56-986f-1155e335ca07,Free Item (Spend 20),CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Uber One members only,$39,1,1,0,Sausage Egg McMuffin® Meal,QSR Executive Enterprises-Aug11-Aug17
128a0ca8-a4bc-488f-9be0-083863a6ec4a,"Buy 1, Get 1 Free",CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
0ace4195-8d16-47be-92af-faf77dd2e177,"Buy 1, Get 1 Free",COMPLETED,"Aug 10, 2025","Aug 11, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
4e01677a-2800-443e-97f7-6f8265732903,Free Item (Spend 20),CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Uber One members only,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
ed2675c8-21ca-48ef-b786-835164ca67bb,"Buy 1, Get 1 Free",CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
f27caaea-0a8d-40ef-a6eb-9e16bab012cc,"Spend 20, Save 5",CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Custom audience,$37,0,1,0,,QSR Executive Enterprises-Aug11-Aug17
de513b1f-395b-4736-99ce-b3102c946253,"Buy 1, Get 1 Free",COMPLETED,"Aug 10, 2025","Aug 11, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
fe1aa72a-58d9-40fe-b212-208f6cf7227a,Free Item (Spend 15),ACTIVE,"Jul 9, 2025","Jul 20, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-July7-July13
efb134e1-fd43-405d-8b53-d4e4ebb4d3aa,Free Item (Spend 15),ACTIVE,"Jul 9, 2025","Jul 20, 2025",1,Custom audience,$237,1,8,0,Medium French Fries,QSR Executive Enterprises-July7-July13
d6d4a9b8-5a45-4ba9-b747-b241c4fe93d8,Free Item (Spend 15),ACTIVE,"Jul 9, 2025","Jul 20, 2025",1,Custom audience,$54,0,2,0,Medium French Fries,QSR Executive Enterprises-July7-July13
78553756-e0fc-4964-8f53-0d70708a791c,Free Item (Spend 15),ACTIVE,"Jul 9, 2025","Jul 20, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-July7-July13
91263a3b-2461-4694-82f1-16b4ccecbd39,Free Item (Spend 15),ACTIVE,"Jul 9, 2025","Jul 20, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-July7-July13
