Store Name,Shop ID,Store ID,Order Count,Count of Misc payment,Sales (excl. tax),Tax on sales,Sales (incl. tax),Refunds (excl tax),Tax on Refunds,Refunds (incl tax),Price adjustments (excl. tax),Tax on price adjustments,Adjustments (including tax),Promotions on items,Tax on Promotion on items,Promotions on delivery,Tax on Promotions on Delivery,Marketing adjustment,Bag Fee,Marketplace fee,Tax on Marketplace fee,Delivery Network Fee,Tax on delivery network fee,Order Processing Fee,Total Sales after Adjustments (incl tax),Other payments,Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Payout reference ID,folder_name,Tax on Sales,Order Error Adjustments,Tax on Order Error Adjustments,Order Error Adjustments (incl. tax),Tax on Price Adjustments,Price Adjustments (incl. tax),Offers on items (incl. tax),Tax On Offers on items,Delivery Offer Redemptions (incl. tax),Tax On Delivery Offer Redemptions,Marketing Adjustment,Marketplace Fee,Tax on Marketplace Fee,Tax on Delivery Network Fee,Capital payments
McDonald's® (117th St & Detroit),491f182f-a4e2-4f38-a00b-1aee28d778da,1568,296,10,6466.67,49.55,6516.22,-138.51,-1.9,-140.41,0,0.0,0.0,-506.61,0.0,0.0,0.0,0.0,0,-917.37,0.0,0,0.0,0,6009.61,25.58,-47.65,0.0,4976.76,7/14/25,WCUTNZAGOUH8LW3,QSR Executive Enterprises-July14-July20,,,,,,,,,,,,,,,
McDonald's® (1582 MENTOR AVE),bb8cdad5-292d-45b0-8d99-161e2c07ef8d,10705,21,2,484.46,2.45,486.91,-6.69,0.0,-6.69,0,0.0,0.0,-34.74,0.0,0.0,0.0,0.0,0,-67.69,0.0,0,0.0,0,452.17,0.0,-2.45,0.0,381.19,7/14/25,F86FNOP30633UUP,QSR Executive Enterprises-July14-July20,,,,,,,,,,,,,,,
McDonald's® (1725 HENDERSON DRIVE),87d18902-06ce-4939-882a-370dc8ce8dec,24316,56,6,1438.89,6.19,1445.08,-26.87,0.0,-26.87,0,0.0,0.0,-68.97,0.0,0.0,0.0,0.0,0,-211.98,0.0,0,0.0,0,1376.11,8.37,-6.19,-274.85,870.5,7/14/25,TMYPW10PFCCDXN1,QSR Executive Enterprises-July14-July20,,,,,,,,,,,,,,,
McDonald's® (2102 RIVER AVE),e970bbdf-f08d-4973-beb7-e5705b9958f8,6678,15,1,460.5,0.82,461.32,0.0,0.0,0.0,0,0.0,0.0,-5.49,0.0,0.0,0.0,0.0,0,-69.34,0.0,0,0.0,0,455.83,0.0,-0.82,0.0,387.68,7/14/25,9OTWILED33O0NV1,QSR Executive Enterprises-July14-July20,,,,,,,,,,,,,,,
McDonald's® (249 Benedict Ave),e491d6e9-a063-4943-81ed-5db185c208ec,3401,2,0,66.63,0.2,66.83,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-9.77,0.0,0,0.0,0,66.83,0.0,-0.2,0.0,56.86,7/14/25,AJ06B19MXP5JOD4,QSR Executive Enterprises-July14-July20,,,,,,,,,,,,,,,
McDonald's® (3221 OBERLIN AVE),ac90e816-e98a-4464-ba44-06592b167a86,16255,74,2,2065.72,11.65,2077.37,-14.43,0.0,-14.43,0,0.0,0.0,-204.39,0.0,0.0,0.0,0.0,0,-283.37,0.0,0,0.0,0,1872.98,0.0,-11.65,0.0,1570.17,7/14/25,XI8R28EIX3NIA2Q,QSR Executive Enterprises-July14-July20,,,,,,,,,,,,,,,
McDonald's® (32528 LORAIN RD),bde8a002-39d6-4f1e-b33f-1d64a3fa32ca,16875,96,2,2638.26,12.53,2650.79,-7.59,0.0,-7.59,0,0.0,0.0,-161.22,0.0,0.0,0.0,0.0,0,-386.78,0.0,0,0.0,0,2489.57,0.0,-12.53,0.0,2096.47,7/14/25,I4I4GJD8NYENDUI,QSR Executive Enterprises-July14-July20,,,,,,,,,,,,,,,
McDonald's® (35900 CENTER RIDGE RD),4213c40d-2b4e-40a2-8be5-f3ae4b6ca02f,34162,38,2,982.08,4.58,986.66,0.0,0.0,0.0,0,0.0,0.0,-31.14,0.0,0.0,0.0,0.0,0,-144.45,0.0,0,0.0,0,955.52,0.0,-4.58,0.0,809.75,7/14/25,DK7FK4H2WFFY58V,QSR Executive Enterprises-July14-July20,,,,,,,,,,,,,,,
McDonald's® (412 Main St),9376c1e8-6220-4e4b-b294-87880ece685c,19593,1,1,60.03,0.0,60.03,0.0,0.0,0.0,0,0.0,0.0,-7.59,0.0,0.0,0.0,0.0,0,-8.39,0.0,0,0.0,0,52.44,0.0,0.0,0.0,44.69,7/14/25,FY36G8P77Z7F0OV,QSR Executive Enterprises-July14-July20,,,,,,,,,,,,,,,
McDonald's® (4204 MILAN ROAD),eee7f2d1-f345-4d2b-b24e-08abe3c24f17,32777,7,0,191.29,2.56,193.85,0.0,0.0,0.0,0,0.0,0.0,-15.18,0.0,0.0,0.0,0.0,0,-25.4,0.0,0,0.0,0,178.67,0.0,-2.56,0.0,150.71,7/14/25,2FHBY0WG11PDZ0O,QSR Executive Enterprises-July14-July20,,,,,,,,,,,,,,,
McDonald's® (908 W PERKINS),ea956b12-1aa6-4350-8dfd-1b5d61c10b23,12283,13,2,311.69,3.22,314.91,0.0,0.0,0.0,0,0.0,0.0,-33.15,0.0,0.0,0.0,0.0,0,-42.47,0.0,0,0.0,0,281.76,0.0,-3.22,0.0,238.69,7/14/25,9IBMC1IJSWBI7ZY,QSR Executive Enterprises-July14-July20,,,,,,,,,,,,,,,
McDonald's® (95 RICHMOND ST),914b0747-950e-436c-b45a-135451e7944a,1807,73,3,1796.12,11.73,1807.85,-7.88,0.0,-7.88,0,0.0,0.0,-94.24,0.0,0.0,0.0,0.0,0,-258.09,0.0,0,0.0,0,1713.61,43.51,-11.73,0.0,1489.99,7/14/25,DZSUFVUE6AOZS9D,QSR Executive Enterprises-July14-July20,,,,,,,,,,,,,,,
McDonald's® (Lorain & 226th St),18963aec-6a43-4d25-b62c-a6aaf5644d5f,174,86,2,2164.14,13.2,2177.34,-36.83,-0.99,-37.82,0,0.0,0.0,-79.05,0.0,0.0,0.0,0.0,0,-318.57,0.0,0,0.0,0,2098.29,0.0,-12.21,0.0,1745.47,7/14/25,5W823RP99BVQNAF,QSR Executive Enterprises-July14-July20,,,,,,,,,,,,,,,
McDonald's® (Lorain & Dover Center),67ae0730-77ff-491f-a800-6535242e3a09,817,102,2,2259.83,16.88,2276.71,-20.53,0.0,-20.53,0,0.0,0.0,-84.66,0.0,0.0,0.0,0.0,0,-330.13,0.0,0,0.0,0,2192.05,0.0,-16.88,0.0,1849.67,7/14/25,NNB39VAX5POO6MU,QSR Executive Enterprises-July14-July20,,,,,,,,,,,,,,,
McDonald's® (Puritas & 143rd St),a198a1e2-b045-4037-996c-f6d56c9b46c9,11366,70,2,1646.32,9.83,1656.15,-31.05,0.0,-31.05,0,0.0,0.0,-74.88,0.0,0.0,0.0,0.0,0,-241.19,0.0,0,0.0,0,1581.27,0.0,-9.83,0.0,1310.32,7/14/25,VL6RZ3H060UXVVO,QSR Executive Enterprises-July14-July20,,,,,,,,,,,,,,,
McDonald's® (95 RICHMOND ST),914b0747-950e-436c-b45a-135451e7944a,1807,89,0,2297.4,,2305.48,,,,0,,,,,,,,0,,,0,,0,1914.84,0.0,-7.33,0.0,1591.97,8/18/25,Y7L0WXVOL7LPA29,QSR Executive Enterprises-Aug18-Aug24,8.08,-23.21,0.0,-23.21,0.0,0.0,-390.64,-0.75,0.0,0.0,0.0,-291.58,0.0,0.0,0.0
McDonald's® (2102 RIVER AVE),e970bbdf-f08d-4973-beb7-e5705b9958f8,6678,18,1,509.56,,510.93,,,,0,,,,,,,,0,,,0,,0,448.98,28.19,-1.33,0.0,408.47,8/18/25,IAM837H4975PGYZ,QSR Executive Enterprises-Aug18-Aug24,1.37,0.0,0.0,0.0,0.0,0.0,-61.95,-0.04,0.0,0.0,0.0,-67.33,0.0,0.0,0.0
McDonald's® (3221 OBERLIN AVE),ac90e816-e98a-4464-ba44-06592b167a86,16255,62,0,1484.77,,1491.01,,,,0,,,,,,,,0,,,0,,0,1329.94,0.0,-5.74,0.0,1115.88,8/18/25,WN2I0E2GF60UB4X,QSR Executive Enterprises-Aug18-Aug24,6.24,-4.49,0.0,-4.49,0.0,0.0,-161.07,-0.5,0.0,0.0,0.0,-203.33,0.0,0.0,0.0
McDonald's® (35900 CENTER RIDGE RD),4213c40d-2b4e-40a2-8be5-f3ae4b6ca02f,34162,38,0,1055.53,,1058.7,,,,0,,,,,,,,0,,,0,,0,938.31,0.0,-3.05,0.0,764.04,8/18/25,GGIYNL2MEPUYCUQ,QSR Executive Enterprises-Aug18-Aug24,3.17,-30.72,0.0,-30.72,0.0,0.0,-120.39,-0.12,0.0,0.0,0.0,-140.38,0.0,0.0,0.0
McDonald's® (1725 HENDERSON DRIVE),87d18902-06ce-4939-882a-370dc8ce8dec,24316,73,2,1898.07,,1900.99,,,,0,,,,,,,,0,,,0,,0,1619.02,9.08,-2.77,-323.61,1020.38,8/18/25,YDB9Y2N4R6LYFSN,QSR Executive Enterprises-Aug18-Aug24,2.92,-31.54,0.0,-31.54,0.0,0.0,-281.97,-0.15,0.0,0.0,0.0,-249.65,0.0,0.0,0.0
McDonald's (4783 Liberty Ave),3d2d8bd9-5a32-543b-a0f7-836f141dd27d,23727,2,0,35.52,,35.52,,,,0,,,,,,,,0,,,0,,0,35.52,0.0,0.0,0.0,30.22,8/18/25,EKPQPNJ7Z1A1NNE,QSR Executive Enterprises-Aug18-Aug24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.3,0.0,0.0,0.0
McDonald's® (412 Main St),9376c1e8-6220-4e4b-b294-87880ece685c,19593,7,0,203.14,,203.91,,,,0,,,,,,,,0,,,0,,0,188.73,0.0,-0.7,0.0,157.89,8/18/25,NEMS8I8DGK9XNQT,QSR Executive Enterprises-Aug18-Aug24,0.77,0.0,0.0,0.0,0.0,0.0,-15.18,-0.07,0.0,0.0,0.0,-30.07,0.0,0.0,0.0
McDonald's® (908 W PERKINS),ea956b12-1aa6-4350-8dfd-1b5d61c10b23,12283,18,0,521.03,,522.27,,,,0,,,,,,,,0,,,0,,0,449.56,0.0,-1.21,0.0,380.47,8/18/25,R3P7HHFFV3L241J,QSR Executive Enterprises-Aug18-Aug24,1.24,0.0,0.0,0.0,0.0,0.0,-72.71,-0.03,0.0,0.0,0.0,-67.85,0.0,0.0,0.0
McDonald's® (117th St & Detroit),491f182f-a4e2-4f38-a00b-1aee28d778da,1568,366,8,8251.18,,8275.84,,,,0,,,,,,,,0,,,0,,0,6564.5,-0.2,-23.26,0.0,5347.18,8/18/25,IRI6G7RGZIKAL52,QSR Executive Enterprises-Aug18-Aug24,24.66,-189.34,0.0,-189.34,0.0,0.0,-1711.34,-1.4,0.0,0.0,0.0,-1003.12,0.0,0.0,0.0
McDonald's® (32528 LORAIN RD),bde8a002-39d6-4f1e-b33f-1d64a3fa32ca,16875,102,0,2768.75,,2777.73,,,,0,,,,,,,,0,,,0,,0,2440.8,0.0,-8.23,0.0,2045.13,8/18/25,CV04FEXC3W990CW,QSR Executive Enterprises-Aug18-Aug24,8.98,-10.84,0.0,-10.84,0.0,0.0,-336.93,-0.75,0.0,0.0,0.0,-375.85,0.0,0.0,0.0
McDonald's (31 W MAIN STREET),897eca28-a40a-5b68-be9b-7981deae2e9a,11969,1,0,24.57,,24.57,,,,0,,,,,,,,0,,,0,,0,24.57,0.0,0.0,0.0,21.13,8/18/25,A89G0CZAGJJUNDL,QSR Executive Enterprises-Aug18-Aug24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.44,0.0,0.0,0.0
McDonald's® (Puritas & 143rd St),a198a1e2-b045-4037-996c-f6d56c9b46c9,11366,61,0,1498.66,,1503.29,,,,0,,,,,,,,0,,,0,,0,1245.59,0.0,-4.51,0.0,987.06,8/18/25,69GX6MKTCXLL5N9,QSR Executive Enterprises-Aug18-Aug24,4.63,-62.39,0.0,-62.39,0.0,0.0,-257.7,-0.12,0.0,0.0,0.0,-191.51,0.0,0.0,0.0
McDonald's® (1582 MENTOR AVE),bb8cdad5-292d-45b0-8d99-161e2c07ef8d,10705,28,0,751.18,,752.77,,,,0,,,,,,,,0,,,0,,0,661.07,0.0,-1.54,0.0,548.39,8/18/25,KMQCXS2BDLH2U1V,QSR Executive Enterprises-Aug18-Aug24,1.59,-12.72,0.0,-12.72,0.0,0.0,-91.7,-0.05,0.0,0.0,0.0,-98.37,0.0,0.0,0.0
McDonald's® (Lorain & 226th St),18963aec-6a43-4d25-b62c-a6aaf5644d5f,174,79,1,1947.27,,1951.71,,,,0,,,,,,,,0,,,0,,0,1628.65,1.9,-4.31,0.0,1355.6,8/18/25,TFFZVRXRQFZQXMT,QSR Executive Enterprises-Aug18-Aug24,4.44,-21.55,0.0,-21.55,0.0,0.0,-323.06,-0.13,0.0,0.0,0.0,-248.96,0.0,0.0,0.0
McDonald's® (4204 MILAN ROAD),eee7f2d1-f345-4d2b-b24e-08abe3c24f17,32777,19,0,517.92,,518.13,,,,0,,,,,,,,0,,,0,,0,432.63,0.0,-0.21,0.0,362.97,8/18/25,VETKIL64PGNW6OT,QSR Executive Enterprises-Aug18-Aug24,0.21,-3.58,0.0,-3.58,0.0,0.0,-85.5,0.0,0.0,0.0,0.0,-65.87,0.0,0.0,0.0
McDonald's® (Lorain & Dover Center),67ae0730-77ff-491f-a800-6535242e3a09,817,136,0,3886.02,,3896.1,,,,0,,,,,,,,0,,,0,,0,3301.65,0.0,-9.47,0.0,2738.2,8/18/25,IK90QV0QJAQRB0D,QSR Executive Enterprises-Aug18-Aug24,10.08,-56.44,0.0,-56.44,0.0,0.0,-594.45,-0.61,0.0,0.0,0.0,-496.93,0.0,0.0,0.0
McDonald's® (95 RICHMOND ST),914b0747-950e-436c-b45a-135451e7944a,1807,85,0,2167.65,,2168.46,,,,0,,,,,,,,0,,,0,,0,1772.46,0.0,-0.81,0.0,1488.72,8/11/25,51PBUFBR5M3INGL,QSR Executive Enterprises-Aug11-Aug17,0.81,-7.69,0.0,-7.69,0.0,0.0,-396.0,0.0,0.0,0.0,0.0,-275.24,0.0,0.0,0.0
McDonald's® (2102 RIVER AVE),e970bbdf-f08d-4973-beb7-e5705b9958f8,6678,18,0,624.85,,624.85,,,,0,,,,,,,,0,,,0,,0,534.38,0.0,0.0,0.0,437.77,8/11/25,2OIJZMD3LUJEP7O,QSR Executive Enterprises-Aug11-Aug17,0.0,-14.94,0.0,-14.94,0.0,0.0,-90.47,0.0,0.0,0.0,0.0,-81.67,0.0,0.0,0.0
McDonald's® (3221 OBERLIN AVE),ac90e816-e98a-4464-ba44-06592b167a86,16255,58,0,1429.15,,1429.15,,,,0,,,,,,,,0,,,0,,0,1285.6,0.0,0.0,0.0,1024.36,8/11/25,C7ZJSV10GGWE54Y,QSR Executive Enterprises-Aug11-Aug17,0.0,-60.71,0.0,-60.71,0.0,0.0,-143.55,0.0,0.0,0.0,0.0,-200.53,0.0,0.0,0.0
McDonald's® (35900 CENTER RIDGE RD),4213c40d-2b4e-40a2-8be5-f3ae4b6ca02f,34162,45,0,1166.41,,1167.51,,,,0,,,,,,,,0,,,0,,0,1071.75,0.0,-1.1,0.0,903.58,8/12/25,ZD92PEY0807XKXX,QSR Executive Enterprises-Aug11-Aug17,1.1,-6.84,0.0,-6.84,0.0,0.0,-95.76,0.0,0.0,0.0,0.0,-160.23,0.0,0.0,0.0
McDonald's® (1725 HENDERSON DRIVE),87d18902-06ce-4939-882a-370dc8ce8dec,24316,83,0,2046.84,,2047.54,,,,0,,,,,,,,0,,,0,,0,1773.15,0.0,-0.7,-343.09,1073.17,8/11/25,WGKXLZLGXB9CTZP,QSR Executive Enterprises-Aug11-Aug17,0.7,-82.43,0.0,-82.43,0.0,0.0,-274.39,0.0,0.0,0.0,0.0,-273.76,0.0,0.0,0.0
McDonald's (4783 Liberty Ave),3d2d8bd9-5a32-543b-a0f7-836f141dd27d,23727,2,0,86.9,,86.9,,,,0,,,,,,,,0,,,0,,0,82.01,0.0,0.0,0.0,68.89,8/11/25,4ZDKSOH498RYJ2R,QSR Executive Enterprises-Aug11-Aug17,0.0,0.0,0.0,0.0,0.0,0.0,-4.89,0.0,0.0,0.0,0.0,-13.12,0.0,0.0,0.0
McDonald's® (412 Main St),9376c1e8-6220-4e4b-b294-87880ece685c,19593,5,0,107.85,,107.85,,,,0,,,,,,,,0,,,0,,0,85.09,0.0,0.0,0.0,71.48,8/11/25,PT24ZH6ER2BGQ62,QSR Executive Enterprises-Aug11-Aug17,0.0,0.0,0.0,0.0,0.0,0.0,-22.76,0.0,0.0,0.0,0.0,-13.61,0.0,0.0,0.0
McDonald's® (908 W PERKINS),ea956b12-1aa6-4350-8dfd-1b5d61c10b23,12283,20,0,505.43,,505.43,,,,0,,,,,,,,0,,,0,,0,483.27,0.0,0.0,0.0,409.25,8/11/25,B09UFOTOOM8NJMM,QSR Executive Enterprises-Aug11-Aug17,0.0,0.0,0.0,0.0,0.0,0.0,-22.16,0.0,0.0,0.0,0.0,-74.02,0.0,0.0,0.0
McDonald's® (117th St & Detroit),491f182f-a4e2-4f38-a00b-1aee28d778da,1568,325,10,7704.82,,7707.68,,,,0,,,,,,,,0,,,0,,0,6398.87,-18.53,-2.86,0.0,5272.26,8/11/25,8V9UYX4YAPCO56G,QSR Executive Enterprises-Aug11-Aug17,2.86,-112.76,0.0,-112.76,0.0,0.0,-1308.81,0.0,0.0,0.0,0.0,-992.46,0.0,0.0,0.0
McDonald's® (32528 LORAIN RD),bde8a002-39d6-4f1e-b33f-1d64a3fa32ca,16875,112,0,3123.52,,3125.49,,,,0,,,,,,,,0,,,0,,0,2753.45,0.0,-1.97,0.0,2308.37,8/11/25,A09X4K683U9X19B,QSR Executive Enterprises-Aug11-Aug17,1.97,-13.58,0.0,-13.58,0.0,0.0,-372.04,0.0,0.0,0.0,0.0,-429.53,0.0,0.0,0.0
McDonald's (31 W MAIN STREET),897eca28-a40a-5b68-be9b-7981deae2e9a,11969,1,0,22.18,,22.18,,,,0,,,,,,,,0,,,0,,0,22.18,0.0,0.0,0.0,18.63,8/11/25,WTXGCERV5TYTG42,QSR Executive Enterprises-Aug11-Aug17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.55,0.0,0.0,0.0
McDonald's® (Puritas & 143rd St),a198a1e2-b045-4037-996c-f6d56c9b46c9,11366,69,0,1628.55,,1628.55,,,,0,,,,,,,,0,,,0,,0,1375.02,0.0,0.0,0.0,1164.85,8/11/25,21PC8436FOX3V3X,QSR Executive Enterprises-Aug11-Aug17,0.0,-3.15,0.0,-3.15,0.0,0.0,-253.53,0.0,0.0,0.0,0.0,-207.02,0.0,0.0,0.0
McDonald's® (1582 MENTOR AVE),bb8cdad5-292d-45b0-8d99-161e2c07ef8d,10705,23,0,557.01,,557.05,,,,0,,,,,,,,0,,,0,,0,487.97,0.0,-0.04,0.0,410.97,8/11/25,WIJC4FNG3V3X03I,QSR Executive Enterprises-Aug11-Aug17,0.04,-2.6,0.0,-2.6,0.0,0.0,-69.08,0.0,0.0,0.0,0.0,-74.36,0.0,0.0,0.0
McDonald's® (Lorain & 226th St),18963aec-6a43-4d25-b62c-a6aaf5644d5f,174,78,0,1986.57,,1988.56,,,,0,,,,,,,,0,,,0,,0,1655.64,0.0,-1.99,0.0,1386.8,8/11/25,UNF8QNIIM8O5WKL,QSR Executive Enterprises-Aug11-Aug17,1.99,-13.85,0.0,-13.85,0.0,0.0,-332.92,0.0,0.0,0.0,0.0,-253.0,0.0,0.0,0.0
McDonald's® (249 Benedict Ave),e491d6e9-a063-4943-81ed-5db185c208ec,3401,2,0,62.99,,62.99,,,,0,,,,,,,,0,,,0,,0,56.6,0.0,0.0,0.0,48.68,8/11/25,026FFM4Z0Y6RZAS,QSR Executive Enterprises-Aug11-Aug17,0.0,0.0,0.0,0.0,0.0,0.0,-6.39,0.0,0.0,0.0,0.0,-7.92,0.0,0.0,0.0
McDonald's® (4204 MILAN ROAD),eee7f2d1-f345-4d2b-b24e-08abe3c24f17,32777,8,0,186.72,,186.72,,,,0,,,,,,,,0,,,0,,0,154.15,0.0,0.0,0.0,130.99,8/11/25,HVFKP3OY6GWDRP2,QSR Executive Enterprises-Aug11-Aug17,0.0,0.0,0.0,0.0,0.0,0.0,-32.57,0.0,0.0,0.0,0.0,-23.16,0.0,0.0,0.0
McDonald's® (Lorain & Dover Center),67ae0730-77ff-491f-a800-6535242e3a09,817,127,0,3385.64,,3387.39,,,,0,,,,,,,,0,,,0,,0,2894.07,0.0,-1.75,0.0,2407.73,8/11/25,6J00YPYIPTK86N5,QSR Executive Enterprises-Aug11-Aug17,1.75,-41.45,0.0,-41.45,0.0,0.0,-493.32,0.0,0.0,0.0,0.0,-443.14,0.0,0.0,0.0
McDonald's® (117th St & Detroit),491f182f-a4e2-4f38-a00b-1aee28d778da,1568,243,9,5538.94,36.82,5575.76,-123.46,-0.58,-124.04,0,0.0,0.0,-414.53,0.0,0.0,0.0,0.0,0,-793.8,0.0,0,0.0,0,5161.23,-18.52,-36.24,0.0,4277.78,7/7/25,E3TTSUO0PEUHCCW,QSR Executive Enterprises-July7-July13,,,,,,,,,,,,,,,
McDonald's® (1582 MENTOR AVE),bb8cdad5-292d-45b0-8d99-161e2c07ef8d,10705,18,2,521.97,3.52,525.49,-5.9,0.0,-5.9,0,0.0,0.0,-27.45,0.0,0.0,0.0,0.0,0,-76.1,0.0,0,0.0,0,498.04,0.0,-3.52,0.0,423.21,7/7/25,B7DRLQ3DPQ2ABNE,QSR Executive Enterprises-July7-July13,,,,,,,,,,,,,,,
McDonald's® (1725 HENDERSON DRIVE),87d18902-06ce-4939-882a-370dc8ce8dec,24316,47,4,1427.69,7.37,1435.06,-65.22,0.0,-65.22,0,0.0,0.0,-51.3,0.0,0.0,0.0,0.0,0,-213.69,0.0,0,0.0,0,1383.76,0.0,-7.37,-243.31,770.57,7/7/25,QO45RWUI4GBZXQZ,QSR Executive Enterprises-July7-July13,,,,,,,,,,,,,,,
McDonald's® (2102 RIVER AVE),e970bbdf-f08d-4973-beb7-e5705b9958f8,6678,16,2,462.06,3.32,465.38,0.0,0.0,0.0,0,0.0,0.0,-63.22,0.0,0.0,0.0,0.0,0,-61.94,0.0,0,0.0,0,402.16,0.0,-3.32,0.0,340.76,7/7/25,8S5YO6BFUWLWSW5,QSR Executive Enterprises-July7-July13,,,,,,,,,,,,,,,
McDonald's® (2118 Cleveland Rd W),71c6a949-9742-4f39-b06e-718610aca49a,6106,1,0,47.02,0.0,47.02,0.0,0.0,0.0,0,0.0,0.0,-8.39,0.0,0.0,0.0,0.0,0,-5.41,0.0,0,0.0,0,38.63,0.0,0.0,0.0,33.22,7/7/25,N3XH9GZI07EUOKJ,QSR Executive Enterprises-July7-July13,,,,,,,,,,,,,,,
McDonald's® (249 Benedict Ave),e491d6e9-a063-4943-81ed-5db185c208ec,3401,1,0,36.94,0.0,36.94,0.0,0.0,0.0,0,0.0,0.0,-4.55,0.0,0.0,0.0,0.0,0,-5.18,0.0,0,0.0,0,32.39,0.0,0.0,0.0,27.21,7/7/25,C6AUQSBZASHQGFH,QSR Executive Enterprises-July7-July13,,,,,,,,,,,,,,,
McDonald's® (3221 OBERLIN AVE),ac90e816-e98a-4464-ba44-06592b167a86,16255,56,2,1322.81,9.03,1331.84,-17.87,-0.43,-18.3,0,0.0,0.0,-63.88,0.0,0.0,0.0,0.0,0,-189.86,0.0,0,0.0,0,1267.96,0.0,-8.6,0.0,1063.83,7/7/25,IVL59P5AIN7KOTG,QSR Executive Enterprises-July7-July13,,,,,,,,,,,,,,,
McDonald's® (32528 LORAIN RD),bde8a002-39d6-4f1e-b33f-1d64a3fa32ca,16875,99,2,2840.85,9.48,2850.33,-7.55,0.0,-7.55,0,0.0,0.0,-192.09,0.0,0.0,0.0,0.0,0,-414.09,0.0,0,0.0,0,2658.24,0.0,-9.48,0.0,2254.23,7/7/25,9UWA60387ELA2ZT,QSR Executive Enterprises-July7-July13,,,,,,,,,,,,,,,
McDonald's® (35900 CENTER RIDGE RD),4213c40d-2b4e-40a2-8be5-f3ae4b6ca02f,34162,33,2,876.36,5.1,881.46,-5.19,-0.3,-5.49,0,0.0,0.0,-30.35,0.0,0.0,0.0,0.0,0,-129.18,0.0,0,0.0,0,851.11,0.0,-4.8,0.0,724.59,7/7/25,5W15AHPAE7VH8UX,QSR Executive Enterprises-July7-July13,,,,,,,,,,,,,,,
McDonald's® (412 Main St),9376c1e8-6220-4e4b-b294-87880ece685c,19593,1,1,14.55,0.0,14.55,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2.33,0.0,0,0.0,0,14.55,0.0,0.0,0.0,12.54,7/7/25,1TWMZJMHGJOYLZ8,QSR Executive Enterprises-July7-July13,,,,,,,,,,,,,,,
McDonald's® (4204 MILAN ROAD),eee7f2d1-f345-4d2b-b24e-08abe3c24f17,32777,3,2,117.69,1.05,118.74,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-16.48,0.0,0,0.0,0,118.74,0.0,-1.05,0.0,102.71,7/7/25,NRT958DOXA0RWM2,QSR Executive Enterprises-July7-July13,,,,,,,,,,,,,,,
McDonald's® (908 W PERKINS),ea956b12-1aa6-4350-8dfd-1b5d61c10b23,12283,8,2,189.28,0.75,190.03,0.0,0.0,0.0,0,0.0,0.0,-15.57,0.0,0.0,0.0,0.0,0,-26.09,0.0,0,0.0,0,174.46,0.0,-0.75,0.0,150.3,7/7/25,B0MUNR43II5KFC9,QSR Executive Enterprises-July7-July13,,,,,,,,,,,,,,,
McDonald's® (95 RICHMOND ST),914b0747-950e-436c-b45a-135451e7944a,1807,73,2,1742.18,8.91,1751.09,0.0,0.0,0.0,0,0.0,0.0,-57.59,0.0,0.0,0.0,0.0,0,-253.18,0.0,0,0.0,0,1693.5,0.0,-8.91,0.0,1451.86,7/7/25,DWGLNOIFE67TYKV,QSR Executive Enterprises-July7-July13,,,,,,,,,,,,,,,
McDonald's® (Lorain & 226th St),18963aec-6a43-4d25-b62c-a6aaf5644d5f,174,64,2,1578.42,6.24,1584.66,-38.15,0.0,-38.15,0,0.0,0.0,-94.23,0.0,0.0,0.0,0.0,0,-230.68,0.0,0,0.0,0,1490.43,0.0,-6.24,0.0,1238.6,7/7/25,XAVNFL203PHYHTC,QSR Executive Enterprises-July7-July13,,,,,,,,,,,,,,,
McDonald's® (Lorain & Dover Center),67ae0730-77ff-491f-a800-6535242e3a09,817,92,2,2403.09,18.89,2421.98,-49.77,0.0,-49.77,0,0.0,0.0,-191.27,0.0,0.0,0.0,0.0,0,-340.71,0.0,0,0.0,0,2230.71,0.0,-18.89,0.0,1861.73,7/7/25,PN5H0EW1ZMFXKP4,QSR Executive Enterprises-July7-July13,,,,,,,,,,,,,,,
McDonald's® (Puritas & 143rd St),a198a1e2-b045-4037-996c-f6d56c9b46c9,11366,61,2,1488.86,9.58,1498.44,-35.71,0.0,-35.71,0,0.0,0.0,-66.99,0.0,0.0,0.0,0.0,0,-217.9,0.0,0,0.0,0,1431.45,0.0,-9.58,0.0,1199.54,7/7/25,RGU30IJKPIN3ORZ,QSR Executive Enterprises-July7-July13,,,,,,,,,,,,,,,
McDonald's® (95 RICHMOND ST),914b0747-950e-436c-b45a-135451e7944a,1807,82,0,2040.98,18.17,2059.15,-6.29,0.0,-6.29,0,0.0,0.0,-155.42,0.0,0.0,0.0,0.0,0,-284.01,0.0,0,0.0,0,1903.73,0.0,-18.17,0.0,1595.26,7/22/25,PLCBFZMLL58C1BS,QSR Executive Enterprises-July21-july27,,,,,,,,,,,,,,,
