Date,Is self serve campaign,Campaign ID,Campaign name,Campaign start date,Campaign end date,Store ID,Store name,Currency,Impressions,Clicks,Orders,Sales,Marketing fees | (including any applicable taxes),DoorDash marketing credit,Third-party contribution,Average order value,Average CPA,ROAS,New customers acquired,Existing customers acquired,Total customers acquired
2025-06-30,false,790e65ea-7d60-45fa-b097-49b02152df8d,SL - McDonald's (New Cx - DD Funded) 6/26-6/30/25 ,2025-06-26,2025-07-01,686933,McDonald's (24316-HENDERSON),USD,88,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-07-01,false,790e65ea-7d60-45fa-b097-49b02152df8d,SL - McDonald's (New Cx - DD Funded) 6/26-6/30/25 ,2025-06-26,2025-07-01,686933,McDonald's (24316-HENDERSON),USD,47,2,1,16.78,3.20,-3.20,0.00,16.78,3.20,5.24,1,0,1
2025-07-01,false,a0401340-107b-4f91-8d4f-c64765541eb1,SL - McDonald's (Lapsed Cx - DD Funded) 6/26-6/30/25,2025-06-26,2025-07-01,686933,McDonald's (24316-HENDERSON),USD,27,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-07-03,false,8f9ec110-011c-4f51-95e9-8bd9a3178ec7,McDonald's Ad Campaign (GCM) 7/3-7/6/25,2025-07-03,2025-07-07,686933,McDonald's (24316-HENDERSON),USD,25,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-07-04,false,8f9ec110-011c-4f51-95e9-8bd9a3178ec7,McDonald's Ad Campaign (GCM) 7/3-7/6/25,2025-07-03,2025-07-07,686933,McDonald's (24316-HENDERSON),USD,48,3,1,12.77,3.00,0.00,0.00,12.77,3.00,4.26,0,1,1
2025-07-05,false,8f9ec110-011c-4f51-95e9-8bd9a3178ec7,McDonald's Ad Campaign (GCM) 7/3-7/6/25,2025-07-03,2025-07-07,686933,McDonald's (24316-HENDERSON),USD,29,3,2,23.98,6.00,0.00,0.00,11.99,3.00,4.00,0,2,2
2025-07-06,false,8f9ec110-011c-4f51-95e9-8bd9a3178ec7,McDonald's Ad Campaign (GCM) 7/3-7/6/25,2025-07-03,2025-07-07,686933,McDonald's (24316-HENDERSON),USD,23,4,2,56.63,6.00,0.00,0.00,28.32,3.00,9.44,0,0,2
2025-07-07,false,8f9ec110-011c-4f51-95e9-8bd9a3178ec7,McDonald's Ad Campaign (GCM) 7/3-7/6/25,2025-07-03,2025-07-07,686933,McDonald's (24316-HENDERSON),USD,6,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-07-10,false,271ad31c-d777-4701-bf0e-f33e1b938d2f,McDonald's Ad Campaign (GCM) 7/10-7/13/25,2025-07-10,2025-07-14,686933,McDonald's (24316-HENDERSON),USD,31,5,2,58.77,6.00,0.00,0.00,29.39,3.00,9.80,0,2,2
2025-07-11,false,271ad31c-d777-4701-bf0e-f33e1b938d2f,McDonald's Ad Campaign (GCM) 7/10-7/13/25,2025-07-10,2025-07-14,686933,McDonald's (24316-HENDERSON),USD,65,10,2,45.81,6.00,0.00,0.00,22.91,3.00,7.64,0,2,2
2025-07-12,false,271ad31c-d777-4701-bf0e-f33e1b938d2f,McDonald's Ad Campaign (GCM) 7/10-7/13/25,2025-07-10,2025-07-14,686933,McDonald's (24316-HENDERSON),USD,28,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-07-13,false,271ad31c-d777-4701-bf0e-f33e1b938d2f,McDonald's Ad Campaign (GCM) 7/10-7/13/25,2025-07-10,2025-07-14,686933,McDonald's (24316-HENDERSON),USD,17,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-07-14,false,271ad31c-d777-4701-bf0e-f33e1b938d2f,McDonald's Ad Campaign (GCM) 7/10-7/13/25,2025-07-10,2025-07-14,686933,McDonald's (24316-HENDERSON),USD,4,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-07-17,false,c29ca2a0-59db-446c-b55b-e031334ad03e,McDonald's Ad Campaign (GCM) 7/17-7/20/25,2025-07-17,2025-07-21,686933,McDonald's (24316-HENDERSON),USD,46,2,1,33.33,3.00,0.00,0.00,33.33,3.00,11.11,0,1,1
2025-07-18,false,c29ca2a0-59db-446c-b55b-e031334ad03e,McDonald's Ad Campaign (GCM) 7/17-7/20/25,2025-07-17,2025-07-21,686933,McDonald's (24316-HENDERSON),USD,63,9,2,27.22,6.00,0.00,0.00,13.61,3.00,4.54,0,1,2
2025-07-19,false,c29ca2a0-59db-446c-b55b-e031334ad03e,McDonald's Ad Campaign (GCM) 7/17-7/20/25,2025-07-17,2025-07-21,686933,McDonald's (24316-HENDERSON),USD,82,9,2,52.61,6.00,0.00,0.00,26.31,3.00,8.77,0,2,2
2025-07-20,false,c29ca2a0-59db-446c-b55b-e031334ad03e,McDonald's Ad Campaign (GCM) 7/17-7/20/25,2025-07-17,2025-07-21,686933,McDonald's (24316-HENDERSON),USD,76,6,2,31.26,6.00,0.00,0.00,15.63,3.00,5.21,0,2,2
2025-07-24,false,0078ffcf-2b67-4434-8596-77d079607494,McDonald's Ad Campaign (GCM) 7/24-7/27/25,2025-07-24,2025-07-28,686933,McDonald's (24316-HENDERSON),USD,30,4,2,47.51,6.00,0.00,0.00,23.76,3.00,7.92,0,2,2
